Day Never Infected Immune Deaths Hospitalized Ventilated ICU Exposed Asymptomatic Presymptomatic Symptomatic CumulativeDeaths MaxInfected
23 6.81499589e6 102.97 17.19 0.14 2.83 1.02 0.32 54.14 19.62 9.85 19.36 0.68 102.99
24 6.81497666e6 118.92 20.42 0.19 3.18 1.13 0.29 63.75 22.32 10.9 21.95 0.87 118.93
25 6.8149594e6 132.91 23.67 0.21 4.06 1.34 0.34 69.28 25.55 12.99 25.09 1.08 132.93
26 6.81494e6 148.56 27.38 0.25 4.76 1.54 0.36 75.49 29.33 14.95 28.79 1.33 148.56
27 6.81491731e6 167.21 31.39 0.28 5.86 1.92 0.45 83.68 33.63 16.75 33.15 1.61 167.21
28 6.81489227e6 186.74 36.88 0.3 6.54 2.27 0.49 91.95 38.27 19.03 37.49 1.91 186.77
29 6.81486393e6 209.24 42.65 0.37 7.48 2.51 0.5 101.62 43.21 21.46 42.95 2.28 209.24
30 6.81483137e6 234.87 49.53 0.42 8.34 2.88 0.49 114.33 48.35 23.58 48.61 2.7 234.87
31 6.814795e6 263.54 57.21 0.44 9.58 3.26 0.62 128.03 54.21 26.49 54.81 3.14 263.54
32 6.81475381e6 295.76 66.13 0.49 10.46 3.54 0.62 145.2 60.71 29.27 60.58 3.63 295.76
33 6.81470664e6 333.43 75.55 0.57 11.96 3.99 0.74 165.27 67.73 32.55 67.88 4.2 333.43
34 6.81465622e6 371.89 87.46 0.62 13.34 4.65 0.83 184.48 75.17 35.91 76.33 4.82 371.89
35 6.81459947e6 416.19 99.86 0.67 14.99 5.19 1.04 205.98 84.26 40.22 85.73 5.49 416.19
36 6.81453576e6 464.89 114.76 0.78 17.13 5.95 1.14 230.03 94.63 44.58 95.65 6.27 464.92
37 6.81446577e6 518.53 131.05 0.84 19.7 6.78 1.44 255.99 105.51 49.6 107.43 7.11 518.53
38 6.81438743e6 578.46 149.37 0.93 22.09 7.81 1.59 284.97 117.91 55.77 119.81 8.04 578.46
39 6.8143004e6 645.59 169.14 1.06 25.47 8.89 1.82 317.08 131.88 62.44 134.19 9.1 645.59
40 6.81420585e6 716.83 192.32 1.19 28.56 9.99 2.06 351.06 147.15 69.51 149.11 10.29 716.86
41 6.81410176e6 795.91 217.15 1.37 33.55 11.42 2.34 386.2 164.52 77.59 167.6 11.66 795.91
42 6.813989e6 880.17 245.5 1.52 38.37 12.82 2.56 421.53 183.89 88.41 186.34 13.18 880.17
43 6.81386621e6 971.4 276.87 1.71 43.67 14.63 2.99 461.82 203.81 97.3 208.47 14.89 971.48
44 6.81373089e6 1070.77 312.61 1.92 48.03 16.18 3.31 507.39 225.68 106.6 231.1 16.81 1070.88
45 6.81358531e6 1176.36 352.23 2.29 53.91 18.19 3.74 551.57 249.75 117.48 257.56 19.1 1176.39
46 6.81342857e6 1288.3 396.68 2.64 60.35 20.56 4.48 598.66 275.04 128.85 285.75 21.74 1288.33
47 6.81326184e6 1404.9 446.43 3.02 67.1 23.1 5.21 646.98 302.42 141.46 314.04 24.76 1405.06
48 6.81308188e6 1528.45 502.47 3.39 74.28 25.99 5.64 696.76 331.6 153.91 346.18 28.15 1528.77
49 6.8128917e6 1656.01 564.55 3.93 81.78 28.31 5.91 746.82 362.33 167.21 379.65 32.08 1656.56
50 6.81283621e6 1642.95 632.7 4.33 89.84 31.08 6.49 654.25 393.59 179.01 416.1 36.41 1661.31
51 6.81277622e6 1625.07 710.09 4.81 97.01 33.91 7.12 559.85 422.53 187.07 455.62 41.22 1665.95
52 6.81271129e6 1606.11 793.44 5.35 103.29 36.45 7.67 476.85 447.54 187.84 493.88 46.57 1670.43
53 6.81264655e6 1578.06 885.58 6.0 104.85 36.85 7.88 403.9 466.57 179.73 527.86 52.57 1673.8
54 6.8125756e6 1548.43 985.35 6.81 103.02 36.13 7.75 355.27 475.21 163.95 554.0 59.38 1677.36
55 6.81250424e6 1511.67 1092.77 7.51 96.86 33.98 7.23 330.02 471.02 142.16 568.47 66.89 1680.01
56 6.81243252e6 1467.95 1207.52 8.2 91.05 32.13 7.02 319.06 457.59 124.6 566.7 75.09 1683.13
57 6.81236113e6 1418.55 1327.53 8.98 83.03 29.32 6.35 317.28 438.31 110.16 552.8 84.07 1686.63
58 6.81228977e6 1362.61 1454.22 9.59 76.57 27.04 5.9 317.88 415.89 101.49 527.35 93.66 1690.72
59 6.81221737e6 1304.36 1584.07 10.39 70.63 24.62 5.31 321.15 391.64 95.91 495.66 104.05 1694.71
60 6.81214701e6 1238.62 1719.5 11.06 66.61 23.0 5.0 321.01 365.61 93.52 458.48 115.11 1699.27
61 6.81207714e6 1175.89 1851.48 11.68 64.47 22.63 4.67 320.4 340.77 92.09 422.63 126.79 1703.41
62 6.81200809e6 1116.67 1979.28 12.15 63.42 22.13 4.67 318.55 318.59 91.65 387.88 138.94 1707.44
63 6.81193605e6 1067.9 2099.63 12.61 62.14 21.71 4.57 319.57 300.31 90.43 357.59 151.55 1712.53
64 6.81186379e6 1030.96 2208.31 13.13 60.89 21.19 4.57 321.35 283.27 89.68 336.66 164.68 1718.75
65 6.81179147e6 1005.28 2305.8 13.64 60.99 21.39 4.72 322.15 272.62 89.59 320.92 178.32 1723.75
66 6.81171934e6 987.96 2394.76 14.13 61.49 21.75 4.95 323.1 265.44 90.01 309.41 192.45 1729.92
67 6.81164357e6 983.0 2474.93 14.69 62.32 22.01 4.84 327.8 261.87 90.39 302.94 207.14 1736.1
68 6.81156514e6 984.59 2551.11 15.35 62.48 21.82 4.61 335.26 259.7 89.46 300.17 222.49 1742.8
69 6.81148611e6 990.26 2623.98 15.84 62.73 21.6 4.48 340.55 259.55 91.42 298.74 238.33 1749.73
70 6.81140536e6 1000.47 2693.91 16.45 63.56 21.88 4.6 345.22 260.41 92.57 302.27 254.78 1757.64
71 6.81132029e6 1014.53 2764.46 16.91 64.42 22.58 4.83 356.67 261.53 92.98 303.35 271.69 1766.97
72 6.81123503e6 1028.02 2835.72 17.42 64.78 22.99 5.02 365.55 263.07 95.69 303.71 289.11 1776.42
73 6.8111466e6 1045.11 2906.51 17.97 65.49 23.01 4.87 375.53 265.76 97.13 306.69 307.08 1786.52
74 6.8110559e6 1064.23 2977.54 18.52 66.79 23.49 4.91 384.98 269.72 99.67 309.86 325.6 1796.81
75 6.8109639e6 1082.9 3050.33 19.06 68.4 24.0 4.99 394.07 272.22 102.65 313.96 344.66 1806.39
76 6.8108677e6 1107.23 3121.68 19.58 70.69 24.87 5.34 406.62 276.73 105.04 318.84 364.24 1816.68
77 6.81076997e6 1132.09 3194.15 19.98 73.32 25.57 5.76 415.97 283.5 106.97 325.65 384.22 1826.45
78 6.81066975e6 1158.84 3267.0 20.6 75.56 26.12 5.79 427.75 290.29 108.82 331.98 404.82 1836.95
79 6.81056615e6 1186.12 3342.81 21.11 77.84 27.09 5.76 440.55 296.13 113.31 336.13 425.93 1847.49
80 6.81046069e6 1214.43 3419.46 21.61 79.68 28.14 5.85 451.65 302.84 115.33 344.61 447.54 1856.92
81 6.81035363e6 1243.66 3496.78 22.12 82.82 29.41 5.95 463.06 311.02 116.79 352.79 469.66 1865.7
82 6.81024374e6 1275.05 3574.7 22.7 85.45 29.96 6.1 472.07 320.25 121.48 361.25 492.36 1875.17
83 6.81013217e6 1304.91 3655.86 23.25 86.88 30.02 6.38 483.12 329.0 123.5 369.29 515.61 1883.62
84 6.81001592e6 1337.9 3738.4 23.97 88.84 30.43 6.36 496.03 336.95 126.89 378.03 539.58 1891.82
85 6.80989805e6 1371.01 3822.55 24.58 91.75 31.71 6.72 506.55 345.47 129.86 389.13 564.16 1899.49
86 6.80977746e6 1405.48 3908.01 25.24 94.71 32.88 7.09 517.65 355.6 133.24 398.99 589.4 1906.47
87 6.80965615e6 1437.67 3996.55 25.82 97.56 33.77 7.33 528.37 364.19 136.43 408.68 615.22 1912.81
88 6.80953133e6 1469.68 4088.58 26.6 98.76 34.24 7.19 538.4 372.48 141.66 417.14 641.82 1917.89
89 6.80940474e6 1502.75 4181.39 27.31 101.74 35.27 7.46 549.12 380.73 144.05 428.85 669.13 1924.61
